code,name,market_id,category33_id,category17_id,scale_id
8462,フューチャーベンチャーキャピタル,3,7100.0,16.0,
8473,ＳＢＩホールディングス,1,7100.0,16.0,4.0
8508,Ｊトラスト,6,7200.0,16.0,
8511,日本証券金融,1,7200.0,16.0,6.0
8515,アイフル,1,7200.0,16.0,4.0
8518,日本アジア投資,1,7100.0,16.0,7.0
8519,ポケットカード,1,7200.0,16.0,7.0
8521,長野銀行,1,7050.0,15.0,7.0
8522,名古屋銀行,1,7050.0,15.0,6.0
8524,北洋銀行,1,7050.0,15.0,4.0
8527,愛知銀行,1,7050.0,15.0,7.0
8529,第三銀行,1,7050.0,15.0,7.0
8530,中京銀行,1,7050.0,15.0,7.0
8537,大光銀行,1,7050.0,15.0,7.0
8541,愛媛銀行,1,7050.0,15.0,7.0
8542,トマト銀行,1,7050.0,15.0,7.0
8543,みなと銀行,1,7050.0,15.0,7.0
8544,京葉銀行,1,7050.0,15.0,4.0
8545,関西アーバン銀行,1,7050.0,15.0,6.0
8550,栃木銀行,1,7050.0,15.0,7.0
8551,北日本銀行,1,7050.0,15.0,7.0
8558,東和銀行,1,7050.0,15.0,6.0
8562,福島銀行,1,7050.0,15.0,6.0
8563,大東銀行,1,7050.0,15.0,7.0
8566,リコーリース,1,7200.0,16.0,6.0
8570,イオンフィナンシャルサービス,1,7200.0,16.0,4.0
8572,アコム,1,7200.0,16.0,4.0
8584,ジャックス,1,7200.0,16.0,6.0
8585,オリエントコーポレーション,1,7200.0,16.0,6.0
8586,日立キャピタル,1,7200.0,16.0,4.0
8589,アプラスフィナンシャル,1,7200.0,16.0,7.0
8591,オリックス,1,7200.0,16.0,2.0
8593,三菱ＵＦＪリース,1,7200.0,16.0,4.0
8595,ジャフコ,1,7100.0,16.0,4.0
8600,トモニホールディングス,1,7050.0,15.0,6.0
8601,大和証券グループ本社,1,7100.0,16.0,2.0
8604,野村ホールディングス,1,7100.0,16.0,1.0
8609,岡三証券グループ,1,7100.0,16.0,4.0
8613,丸三証券,1,7100.0,16.0,6.0
8614,東洋証券,1,7100.0,16.0,6.0
8616,東海東京フィナンシャル・ホールディングス,1,7100.0,16.0,4.0
8617,光世証券,1,7100.0,16.0,7.0
8622,水戸証券,1,7100.0,16.0,6.0
8624,いちよし証券,1,7100.0,16.0,6.0
8625,高木証券,6,7100.0,16.0,
8628,松井証券,1,7100.0,16.0,4.0
8630,損保ジャパン日本興亜ホールディングス,1,7150.0,16.0,2.0
