category17_id,category17
1.0,食品 
13.0,商社・卸売 
3.0,建設・資材 
7.0,鉄鋼・非鉄 
2.0,エネルギー資源 
8.0,機械 
10.0,情報通信・サービスその他 
5.0,医薬品 
17.0,不動産 
12.0,運輸・物流 
16.0,金融（除く銀行） 
14.0,小売 
4.0,素材・化学 
9.0,電機・精密 
6.0,自動車・輸送機 
15.0,銀行 
11.0,電力・ガス 
